n,p
6.29757395823249,-1.4413672488189666
5.746959585916656,-1.5571530226361399
5.373757616515137,-1.388965550777639
8.530642810128223,-1.7907027759923724
5.232552402072768,-1.0975632719627153
5.591033910176976,-1.520178483109733
7.305997426470843,-1.9021608805238137
7.857809829941982,-1.8539684238723921
9.788877400813886,-2.107364050899255
8.88850675747635,-2.0557306081726776
4.762566501255336,-1.413865342326136
6.401803955512213,-1.446518316798271
7.425599942415853,-1.6267040652074538
6.026677150946482,-1.8721417505028115
4.979838261253212,-1.197061024457063
6.543630859661279,-1.6950176678042188
8.15279654943179,-1.9801091463449676
9.023390656780215,-2.0136757855476985
6.319918791889293,-1.5220568344835956
11.414659311310272,-2.648638086630237
4.822079532623634,-1.253373875255496
6.47744666779431,-1.5701434202231535
8.694298372113304,-1.8137557050499393
8.486309170491234,-2.1768824431308023
7.920086943211889,-1.76318232401787
7.385973521256366,-1.7359964692080103
5.870471260871293,-1.6208322125075008
6.65370218413963,-1.8119505289619553
5.014040138210503,-1.5469334765462248
8.643453948606629,-1.9791137478745138
6.046458306017367,-1.6845882399125418
6.407553724123628,-1.6682859849611782
8.208147873311002,-2.109816014205969
9.19141786010387,-2.245118564179713
7.937915666144589,-1.8108976082020678
6.6415497254814095,-1.801540666881112
7.056620463495561,-1.7613599693781934
8.948487849617615,-1.851492678797087
4.822143949976314,-1.3311284291711543
5.384065126601507,-1.3735825779144442
5.521769333697957,-1.4894437899841584
6.9935470115382525,-1.8841230176727766
8.071486014769816,-1.9818791140682057
4.6003524298209735,-1.272979379206565
6.93887007970829,-1.4538255591428781
8.14046845386269,-1.9324757132529127
8.785037749646078,-2.0479474922921894
6.636514625674015,-1.5361772248320293
8.7238784511665,-1.90263884967784
8.403202305630677,-1.964411507898792
7.919414919028019,-2.1123722914534158
7.593460636373585,-1.932350143608921
4.704812008867183,-1.3356384371949859
7.549072118670501,-2.01980885321203
8.964887091248748,-1.9502440721818068
7.511584090262996,-1.8308043663243827
7.655991320697265,-2.0822088806634844
8.672322518299174,-1.8916172017103825
4.742287051639135,-1.4547905016656066
8.011073308048415,-1.674950500853707
8.328992981321393,-2.183884862814547
5.390477713866982,-1.632686293413435
7.943256893988102,-1.7033730968792364
8.713163462538754,-2.423381648260924
8.020224308360307,-2.089798143661651
5.046574935390914,-1.1826761783554294
8.345373619439295,-1.9281543901534222
6.252965897727456,-1.5595331065419231
7.363199776199122,-1.6718871288327661
5.908828427633632,-1.4440798530315095
4.621535709060508,-1.29978493346757
5.553316403543419,-1.6287935715081132
5.306334976540707,-1.3764071536675353
6.161096283482267,-1.7040928283655632
8.643808304470204,-2.215503053809668
5.391783419768298,-1.4809142692886115
8.437657533298328,-2.011428732267982
6.182283820560338,-1.5939794053872447
7.653844715681133,-1.7778105604794592
7.197786325712652,-1.6415095112627816
9.783082251155896,-2.105898436027859
6.46761515474652,-1.8696133573404796
7.392878743801424,-1.7725000106154316
8.480224729482336,-2.1177204118591972
9.526247713225294,-2.1233381848615807
7.744941683646198,-1.6161774413274401
6.589217295490782,-1.6712665403890925
6.030707162426013,-1.5908028948138018
6.197715405007203,-1.6766086195216012
6.022163464831731,-1.4556885513290183
8.44240763622252,-2.1485981807921233
7.614381086587084,-2.0086611606889377
5.264567270826947,-1.347037347247951
6.851166192530023,-1.6938930149550226
8.461547811136358,-1.938035867501531
6.349986691384914,-1.6521258901804912
6.551993579802889,-1.5213388758831037
6.965124580086539,-1.5878610882721411
5.058642734932652,-1.4002046834687252
6.767955928660909,-1.717361072782561
5.555425906971578,-1.4046404159976307
6.008134795788658,-1.513561882319515
9.407431731387192,-2.3724276334131096
6.687792595960564,-1.9473512209926187
7.460466045259472,-1.8130534253467452
7.838028552000809,-2.1785625704812146
5.381956186881961,-1.624513640784068
6.53342261997165,-1.873125267304899
6.345460712293093,-1.5946138419769085
5.605527171919052,-1.3492877514990869
7.628917633220103,-1.7745155349906836
7.364887420934661,-1.898480628967266
6.366265176696359,-1.5242220790785228
8.404848043146153,-2.0840136870231056
6.338188286900161,-1.6215491960156954
7.3555091791715,-1.878107582403481
8.883167372155695,-2.0555857411420093
6.292652107205553,-1.5454303663758977
7.924558829372562,-2.135394325585703
7.1985689027957775,-1.8499572346983109
7.559687969668448,-1.8705299819304506
7.284585798973215,-1.7971259922019527
8.03001243012007,-1.8903680214355822
7.056448979747591,-1.8755944048965782
6.860164825841686,-1.8528096059529429
6.4969696336880505,-1.3057979200897414
6.59628628206092,-1.7158638624407472
6.9379985122201795,-1.785071901184612
7.666212539596688,-1.8527883505615397
8.388760755847475,-1.9440243560206978
7.830082720685049,-1.9425954279273279
6.123652243550736,-1.4844359198701333
7.620365513522878,-2.008220548248188
6.389748194076688,-1.7168419414651737
8.157347393762294,-1.7874062623012525
11.39404405777982,-2.571286982557576
9.255156022055235,-2.0690486387110663
7.672548283727082,-2.072000644161189
8.718496133171543,-2.421068455858004
6.880588755456137,-1.7381305090054282
4.866454670207392,-1.3347682525875226
5.453774115724044,-1.3283539941038083
7.448343890027826,-1.8937706791362372
9.488310991276476,-2.259870824246665
6.336482360806723,-1.6524409363653734
6.699462353379833,-1.6237030149777365
8.140753855865817,-2.014680590343371
7.769748036815155,-2.022178481381466
7.192622777110514,-1.8593672885182508
7.531795079620487,-1.814618704239006
6.357276971269825,-1.611651141849247
6.437518023784383,-1.876373357880325
6.664023618060362,-1.6703827891973257
5.787791485230484,-1.7673544418226361
6.772270398628887,-1.81603270835758
8.495401624584943,-2.015316143616852
7.368608946730499,-1.4985529596558729
8.506502564915653,-2.0735158384819816
5.8741055698299185,-1.5244516970701485
4.218888380046569,-1.3365537332747692
7.107423960351022,-1.6576913679797278
8.730513168967573,-2.4273341411446894
6.889450223880079,-1.6167169241655588
6.571063012953049,-1.624075697336236
7.692644407063847,-1.835302671772106
4.888490544972661,-1.5265803429046638
8.426544860537328,-1.8817597492456382
5.257222700997704,-1.3330198778798095
6.655471204986904,-1.7556050278882975
9.427276576313078,-1.9904782757216215
7.018602137270818,-1.897970568655411
7.097629348624799,-1.7971870482061711
7.499625412064018,-1.8722052767632322
8.884202486910102,-2.224785691296072
7.643948799893591,-1.8513708218257896
6.036397067340965,-1.4552580999155702
7.0806702534795924,-1.6655185497862386
9.457233378589157,-2.0880113502470787
5.78538363188441,-1.4960183067165866
7.282438636492147,-1.9027433104182998
11.230331751432795,-2.452452950574764
7.564187209186416,-1.9820218531649008
9.80990678817402,-2.074153950273821
7.045218011277941,-1.7208356188029672
9.070396689819566,-2.062263214512783
8.63446856092251,-1.8917784201706163
7.984708345710383,-2.167887744009246
5.9394181456257416,-1.6105144524131043
7.897912231913904,-1.7451000529659981
7.887077009508868,-2.003708714460668
5.803883577737959,-1.4239009215273641
4.737012329658969,-0.9113774778517942
7.164072181034141,-1.6684080079655828
7.167373238240162,-1.6848608485326806
6.866760829879657,-1.7347741453608416
4.306302469382286,-1.191192089598811
5.815870030136962,-1.727163995380587
7.829634801185936,-1.7609872508354083
8.601605004930738,-2.168502324605478
5.928583117937475,-1.8086594578067272
8.702111130555162,-1.8812201423944257
4.619324834484023,-1.1536262065511989
5.693107883392378,-1.4660536712016712
7.567026825370348,-1.7663779140580032
7.880378559382283,-1.9042579575063798
5.784855299764917,-1.5970597212936064
7.216335727900999,-1.9138137953436751
7.282115529270101,-1.7310696814062296
6.292652840736567,-1.7282011920305005
8.764866131835303,-1.960365210863731
6.216593111325154,-1.655938047145435
8.997004166046132,-2.1235841201676116
6.623759715421434,-1.620226114344293
7.537870477024027,-1.9076514757335843
8.717123581262793,-2.248324971954879
8.565975472387864,-1.854758849938707
